code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz000997,2016-10-18,18.140000,18.450000,18.130000,18.440000,0.016538,4915498.000000,89994011.580000,17003921511.080000,17308189643.119999,0.005331,195.986330,2016-06-30,2016-08-17,45.099137,6.020092,20.981607,7.355405,18.440000
sz000998,2016-10-18,19.570000,19.780000,19.430000,19.690000,0.007161,4390563.000000,86240709.760000,16355557274.650000,24734473131.060001,0.005286,210.348243,2016-06-30,2016-08-25,45.476907,9.681594,69.446894,4.659583,19.690000
sz000999,2016-10-18,26.040000,26.770000,26.020000,26.510000,0.015320,5642712.000000,149143111.080000,25919948823.669998,25950639000.000000,0.005771,51.325882,2016-06-30,2016-08-13,20.623208,3.284812,19.662030,3.217858,26.510000
sz001696,2016-10-18,10.340000,10.490000,10.250000,10.470000,0.007700,15770497.000000,163759725.390000,9332891986.650000,11988431852.400000,0.017692,234.436008,2016-06-30,2016-08-27,33.617816,2.556154,16.175380,3.520629,10.470000
sz001896,2016-10-18,9.300000,9.480000,9.250000,9.480000,0.019355,9508500.000000,89279826.660000,6275016246.600000,8108016243.000000,0.014365,13.098395,2016-06-30,2016-08-20,11.825123,2.218018,6.624460,1.919339,9.480000
sz001979,2016-10-18,16.320000,16.980000,16.300000,16.940000,0.034820,63795255.000000,1062021726.270000,29915203435.040001,133895330710.679993,0.036125,17.249733,2016-06-30,2016-08-23,23.921553,,30.142617,2.762647,16.940000
sz002001,2016-10-18,23.820000,24.150000,23.220000,23.580000,0.039224,36842085.000000,872023791.020000,25303436285.580002,25676710020.000000,0.034333,355.038414,2016-06-30,2016-08-16,35.069663,6.717179,23.556891,3.492505,23.580000
sz002002,2016-10-18,6.680000,6.780000,6.660000,6.750000,0.010479,9521195.000000,63956093.780000,13936584471.750000,16314202926.000000,0.004611,69.201521,2016-06-30,2016-08-27,11.520265,1.694312,-448.385811,1.880852,6.750000
sz002003,2016-10-18,15.080000,15.340000,15.010000,15.290000,0.013926,1981127.000000,30130451.290000,5451663322.160000,6858066466.130000,0.005556,124.078122,2016-06-30,2016-08-23,23.894732,3.357725,14.806967,3.276546,15.290000
sz002004,2016-10-18,9.700000,9.800000,9.660000,9.800000,0.010309,15218706.000000,148098041.620000,13094087288.799999,19941311313.000000,0.011390,169.553081,2016-06-30,2016-08-26,32.068063,3.229805,23.679505,2.101201,9.800000
sz002005,2016-10-18,6.080000,6.260000,6.070000,6.230000,0.022989,20853752.000000,128112786.880000,7266672000.000000,8699572000.000000,0.017879,62.803591,2016-06-30,2016-08-29,414.256267,1.992357,12.844143,1.576377,6.230000
sz002006,2016-10-18,12.830000,12.980000,12.640000,12.940000,0.005439,4322357.000000,55341174.400000,5731202540.100000,5889770400.000000,0.009759,99.459290,2016-06-30,2016-08-13,144.218445,9.042621,29.192931,6.566861,12.940000
sz002007,2016-10-18,36.390000,36.970000,36.390000,36.900000,0.005450,5671629.000000,208557111.430000,29642254497.000000,34320235392.000000,0.007060,754.661026,2016-06-30,2016-08-18,40.043321,14.574456,41.459277,8.928571,36.900000
sz002008,2016-10-18,22.150000,22.650000,22.110000,22.570000,0.021267,18739798.000000,421658264.590000,22350091687.700001,24067607410.150002,0.018924,286.669201,2016-06-30,2016-08-25,29.036558,4.295724,44.932502,4.893649,22.570000
sz002009,2016-10-18,16.710000,17.170000,16.670000,17.160000,0.026930,9270307.000000,156960053.210000,4502993283.360000,6260406077.640000,0.035327,90.476765,2016-09-30,2016-10-15,58.388995,2.894282,16.562907,3.490714,17.160000
sz002010,2016-10-18,20.100000,20.270000,19.830000,20.060000,-0.001493,4139437.000000,82983363.370000,8281231245.580000,65351762440.680000,0.010027,163.698927,2016-06-30,2016-08-24,223.258506,12.237378,-33.251227,5.947404,20.060000
sz002011,2016-10-18,10.630000,10.800000,10.510000,10.780000,0.016981,7038416.000000,75061817.080000,9053089103.520000,9887547289.620001,0.008381,66.248814,2016-06-30,2016-08-22,140.253184,1.551863,50.054791,2.196325,10.780000
sz002012,2016-10-18,9.500000,9.630000,9.400000,9.590000,0.010537,10294235.000000,97984333.870000,4484528247.710000,4484528257.300000,0.022014,49.675710,2016-06-30,2016-08-23,-3047.346679,5.024678,81.847588,3.809789,9.590000
sz002013,2016-10-18,17.020000,17.260000,16.840000,17.240000,0.004077,10580403.000000,180476869.550000,24079091173.759998,27650150535.119999,0.007575,220.971758,2016-06-30,2016-08-12,29.284566,2.190649,17.073229,3.905489,17.240000
sz002014,2016-10-18,16.770000,17.140000,16.770000,17.040000,0.010077,2370437.000000,40328996.650000,3928796041.920000,5721085973.280000,0.010281,90.347962,2016-06-30,2016-07-22,30.155769,3.111735,17.007057,3.551258,17.040000
sz002015,2016-10-18,9.590000,9.650000,9.520000,9.650000,0.012592,4957159.000000,47511609.490000,3689763906.100000,3866791911.250000,0.012965,56.049798,2016-06-30,2016-08-24,-102.714210,9.834615,-32.154341,12.300829,9.650000
sz002016,2016-10-18,10.350000,10.650000,10.120000,10.620000,0.020173,12442904.000000,129149598.540000,6861535601.220000,8592595611.840000,0.019259,59.717130,2016-06-30,2016-08-29,52.503300,6.369518,8.492162,4.695791,10.620000
sz002017,2016-10-18,15.250000,15.350000,15.120000,15.310000,0.007900,5349921.000000,81712206.600000,5236413023.010000,5303634104.160000,0.015642,80.157865,2016-06-30,2016-07-30,82.027378,3.686158,25.248569,6.299115,15.310000
sz002018,2016-10-18,8.610000,8.720000,8.600000,8.720000,0.011601,14992067.000000,130019632.780000,19862655119.840000,19862655119.840000,0.006582,143.313526,2016-06-30,2016-08-19,59.714984,1.309482,-7.878498,6.766509,8.720000
sz002019,2016-10-18,14.580000,14.740000,14.450000,14.680000,0.010323,11280159.000000,164914412.330000,8215254321.720000,16159716210.760000,0.020157,208.449622,2016-06-30,2016-08-20,13.068416,1.436295,10.589629,4.253839,14.680000
